GeneID,GSM8245471,GSM8245473,GSM8245474,GSM8245475,GSM8245476,GSM8245477,GSM8245478
728716,0,0,0,0,0,1,0
105376672,0,0,0,0,0,1,0
105376673,0,0,0,0,1,3,0
284661,0,0,0,1,0,4,0
105376674,0,0,0,0,0,2,0
105376679,0,0,0,0,0,1,0
107985376,0,0,0,1,0,1,2
55966,23,0,25,40,8,23,549
105376680,0,0,0,0,0,2,0
102724429,0,0,0,0,0,3,0
105376681,0,0,0,1,0,0,0
105376682,0,0,0,1,0,0,0
107984911,0,0,0,2,0,3,0
105376686,0,0,0,1,0,3,0
100616421,1,0,0,1,2,7,3
261734,130,84,122,333,376,362,466
8514,381,128,221,383,656,433,681
26038,7,26,4,12,8,26,161
105376687,2,0,1,0,1,2,1
6146,2309,1583,2209,2920,2379,2302,1827
107985733,12,9,9,18,9,16,34
102724450,0,0,2,6,2,3,8
388591,131,93,82,406,148,442,730
23463,318,341,406,1228,480,609,693
148645,4,0,0,5,2,2,0
390992,3,0,0,5,0,1,1
387509,165,34,102,841,176,337,265
11332,47,132,57,330,93,244,109
54626,11,36,6,101,1,135,39
83715,14,73,4,134,4,156,22
100422975,0,0,0,0,0,0,0
8718,84,38,29,122,54,284,113
57449,293,145,96,269,316,775,601
79707,381,183,332,655,432,518,361
80835,13,0,1,5,24,6,15
107984912,1,0,2,1,4,2,3
3104,170,42,66,264,225,273,280
9903,276,84,248,831,519,479,629
107984913,13,2,6,16,10,8,3
148479,206,44,295,340,455,215,431
90326,91,47,54,167,118,161,160
55735,251,181,134,475,252,514,429
100505887,0,0,0,0,0,1,0
110841581,2,0,1,2,3,3,0
23261,263,59,415,437,392,384,393
105376692,1,1,0,1,1,3,3
102725193,0,1,0,0,0,3,3
101928836,0,0,1,2,0,4,6
105376691,2,0,0,0,0,2,2
105376689,11,2,13,42,8,85,18
9341,621,155,762,1009,803,742,748
8863,630,72,431,655,376,161,417
10911,5,5,2,5,0,9,1
3604,67,4,68,43,57,24,158
11315,428,192,406,843,557,453,631
54206,3840,389,4427,8942,10442,2277,21291
107984915,1,1,0,2,1,13,3
102724539,0,0,2,4,3,2,3
105376695,1,0,1,0,0,2,1
50651,20,4,36,24,65,12,169
473,1396,386,799,1673,1445,1938,3854
102724552,28,7,11,31,16,30,20
106632271,0,0,1,6,6,9,6
2023,1665,1363,2522,5995,5392,4731,12222
102465436,1,0,3,8,4,7,8
100505975,4,1,0,5,1,0,3
112268261,1,0,0,13,0,13,0
765,0,0,0,1,1,3,1
155184,0,0,1,0,1,0,1
6518,68,8,265,105,711,39,1081
80045,83,40,45,364,167,339,149
106614088,79,54,81,150,131,145,534
407040,4,3,1,6,6,7,21
102724571,8,3,7,29,21,13,62
9563,1613,482,1080,4763,2251,1868,3789
80176,356,82,503,528,1141,245,2809
100506022,8,2,10,12,8,11,17
84275,71,21,93,262,135,88,95
199953,75,51,53,203,132,184,169
107985734,6,2,0,5,5,7,4
105376712,2,0,0,0,0,0,0
5293,537,24,250,354,761,155,1259
644997,18,0,6,10,13,6,7
101929074,16,0,12,9,25,0,15
22883,1153,345,963,2765,2036,1670,3941
56998,153,49,95,410,108,278,232
105376717,12,2,7,35,8,27,28
84328,271,137,262,625,291,405,228
64802,62,35,57,241,85,154,113
113391335,3,11,2,13,2,16,2
100847055,0,5,0,3,0,3,0
116362,128,6,18,50,82,24,8
10277,565,265,401,870,537,930,777
23095,1367,454,2428,3735,3534,2171,4197
105376725,24,6,40,46,57,52,86
5226,407,249,338,725,423,745,497
100526739,9,10,9,24,13,31,13
378708,8,9,10,25,13,29,10
1325,2,1,3,4,2,6,5
1676,264,170,229,607,338,548,386
5195,114,35,61,203,129,183,225
54897,109,157,46,655,65,549,247
105376733,1,0,0,1,0,2,0
105376735,0,0,0,0,0,2,0
148345,11,1,3,1,5,6,0
23435,1120,402,906,1664,1219,1437,1220
10747,86,17,51,444,21,33,49
6723,128,98,144,340,325,256,319
5394,479,159,306,683,479,689,798
105376736,21,4,16,27,29,23,31
2475,838,340,503,1827,998,1614,1488
100873935,17,11,17,49,35,33,45
10218,117,9,24,77,44,63,83
29914,136,66,91,286,146,210,127
105376737,1,0,0,1,2,0,3
105376739,1,0,1,0,0,1,0
105376740,0,0,0,0,0,1,1
57540,1,0,2,7,1,16,1
112268221,1,0,2,0,0,4,2
101929181,0,0,0,0,0,1,1
26232,22,2,20,27,5,5,149
93611,134,20,70,125,121,175,309
26270,48,10,28,97,46,46,50
10459,71,35,61,128,143,123,144
374946,3,2,4,12,0,22,1
57085,80,80,89,192,149,144,260
284498,96,18,31,139,111,111,137
102724659,0,0,0,0,0,0,0
4524,587,112,230,825,639,535,887
1185,263,84,156,399,344,450,528
100379251,30,11,14,32,24,36,35
4878,4,3,2,11,10,21,5
4879,0,0,0,0,0,0,1
26829,36,9,33,84,44,66,45
90231,208,148,179,599,359,489,458
5351,375,219,681,1284,1440,734,2959
9927,630,221,444,1308,779,788,1111
60672,107,48,70,193,207,264,186
102466982,0,0,1,1,1,2,2
943,103,9,82,20,453,17,246
102465836,1,1,1,2,5,1,3
7133,865,104,763,724,3018,482,2249
100616438,5,1,2,4,17,7,18
107984917,12,0,1,7,19,5,9
55187,2554,789,1780,3809,2600,3279,4105
677885,16,8,15,28,22,36,37
105376744,20,1,6,44,9,14,33
9249,746,71,510,844,820,515,2526
102466722,4,0,4,4,6,10,32
343066,5,0,0,0,3,3,3
126767,1,0,0,0,0,2,0
93190,0,0,0,4,0,3,0
390999,0,0,0,0,0,0,0
65121,0,0,0,0,0,5,0
105376745,0,0,0,0,0,1,0
440560,0,0,0,1,0,2,0
343069,0,0,0,1,0,0,1
65122,0,0,0,0,0,0,0
400735,0,0,0,2,0,3,0
343071,0,0,0,5,0,0,0
441871,0,0,0,0,0,1,0
440561,0,0,0,0,0,1,0
101929983,0,0,0,0,0,0,0
649330,0,1,0,0,0,1,0
441873,0,0,0,0,0,1,0
649324,0,0,0,0,0,1,0
440563,0,0,0,0,0,3,1
645354,0,0,0,0,0,1,0
645359,0,0,0,0,0,1,0
101060301,0,1,0,0,0,1,0
343070,0,0,0,0,0,1,0
400736,0,0,0,0,0,1,0
391003,0,1,0,0,0,1,0
343068,0,0,0,0,0,3,0
391002,0,0,0,0,0,2,0
645382,0,0,0,3,0,1,0
653619,0,0,0,2,0,4,0
729528,0,0,0,0,0,3,0
645414,0,1,0,0,0,0,0
391004,0,0,0,0,0,2,0
645425,0,0,0,0,0,3,0
126755,0,0,0,23,2,2,2
102724856,0,0,0,5,1,3,1
107984918,0,0,0,1,0,0,1
10630,322,23,775,374,1953,177,2176
107984919,5,0,13,5,28,4,52
105378612,0,0,1,0,0,1,1
105376756,0,0,0,0,1,0,0
7799,1438,314,870,1265,1181,1180,1041
23254,156,51,74,207,162,267,278
107985467,19,12,5,41,5,24,8
107985468,4,3,1,9,1,6,1
105376762,9,9,1,17,4,13,1
105376759,12,7,2,21,6,13,8
107985469,1,0,1,2,1,9,1
200197,26,23,24,77,41,169,83
55092,82,45,95,246,191,216,438
727684,30,21,46,110,89,115,233
114827,47,258,50,233,32,157,269
101927417,6,21,14,33,8,18,26
101927441,84,8,33,204,128,136,249
79180,449,125,319,1207,818,1061,1096
11330,5,0,3,2,32,10,20
63036,2,0,2,3,16,9,3
105376767,2,0,1,2,12,4,4
51032,16,3,7,13,36,19,25
842,117,19,80,194,268,216,336
23341,324,173,232,738,361,534,337
107397391,2,0,1,1,1,3,1
79814,22,182,17,426,28,166,26
84301,757,345,648,1749,881,1475,1013
6248,140,58,120,288,166,258,168
23207,608,117,397,977,1374,943,1894
284723,32,7,15,72,81,30,78
110806303,2,0,0,3,2,2,5
388595,1,11,0,43,1,5,1
54751,312,331,418,688,980,914,1493
440567,40,33,28,84,23,94,35
729614,53,13,25,72,67,66,56
23013,2153,711,1416,2771,3015,2988,3422
7709,278,59,161,372,506,358,742
149563,1,0,0,2,0,3,0
27129,99,13,88,286,346,34,815
1187,4,0,1,6,5,5,26
1188,3,1,8,0,16,3,28
348487,0,5,3,3,7,6,10
1969,757,335,363,2373,496,1944,2407
101927479,38,34,7,155,15,195,103
128272,53,65,77,135,141,217,253
101927546,11,6,6,30,12,52,7
79363,20,11,15,20,28,42,35
54455,407,130,493,554,540,401,1251
26099,404,151,461,833,805,547,929
374955,232,95,277,457,457,307,457
55707,404,123,344,687,500,687,713
107984921,64,13,46,73,39,107,69
114819,158,29,92,142,114,269,182
26871,10504,2608,10195,18505,21096,18410,21390
107985757,0,0,0,0,0,0,0
100132147,11,3,2,3,0,5,3
107985758,5,1,1,2,0,0,1
7195,0,0,0,1,0,0,2
55672,423,105,382,756,405,1022,726
105376794,222,111,73,765,123,705,288
84809,106,48,38,304,85,321,230
11209,11,6,8,1040,24,37,79
107985736,4,2,4,11,3,13,2
26869,10565,2636,10224,18508,21138,18481,21404
107985759,4,0,1,3,0,0,1
284729,7,0,2,9,0,21,9
100189045,0,0,0,0,0,0,0
6060,11013,2673,10463,18553,21707,18950,21890
11223,10,6,10,311,21,25,32
100500876,0,0,0,0,0,1,0
100189298,0,0,0,0,0,1,0
112267871,7,6,1,1,1,3,7
7193,3,2,0,0,0,0,2
100189183,0,0,0,0,0,0,0
105376805,28,8,19,40,12,48,25
791226,0,0,1,1,0,0,0
26870,10978,2672,10398,18385,21510,18726,21760
9696,315,71,126,398,590,756,832
4237,86,20,362,226,452,77,1394
105376806,25,2,64,37,76,14,277
23400,209,79,116,594,294,830,1167
6390,223,131,180,442,216,256,251
11240,100,2,119,929,240,40,435
105376808,0,0,0,0,0,2,0
400743,0,0,0,0,0,2,9
29943,4,4,10,74,3,49,14
51702,0,54,0,542,0,2,5
100616188,0,2,0,8,0,0,0
23569,24,2,4,23,43,21,17
353238,0,0,0,0,1,2,0
55920,595,646,586,2136,1154,2246,1289
55160,386,333,259,1878,786,1646,1424
107984028,0,0,0,1,0,0,0
81569,0,8,0,25,0,3,0
105376809,0,0,0,0,1,1,0
105376812,0,0,0,0,0,1,0
101927876,0,0,0,0,0,4,0
84966,37,1,105,45,223,6,95
105376814,19,3,69,25,78,6,17
127707,4,2,3,22,0,4,0
5081,1,2,0,46,0,6,0
80834,1,0,0,0,0,5,0
8659,97,35,36,1072,57,80,143
100616120,0,0,0,0,0,0,0
100302276,0,0,0,3,0,1,1
126917,268,34,162,415,293,307,772
105376815,0,0,0,2,0,8,0
23352,4317,1486,2958,7624,6050,6698,11562
101927895,27,7,30,58,34,35,47
23065,509,226,432,1061,661,701,895
51154,128,144,155,494,286,315,253
246181,14,97,14,193,16,97,19
22977,30,325,21,314,16,124,50
100506730,36,46,27,61,35,98,57
8574,187,165,143,403,215,246,407
54896,184,30,96,206,269,127,398
832,1087,310,1097,1639,1993,1269,3641
105376819,7,0,5,3,7,6,21
105376818,2,0,1,0,5,0,9
105376817,5,1,6,5,2,3,17
105378614,0,1,0,1,1,0,0
440574,160,88,210,309,215,180,470
100532736,741,162,1086,1399,2118,1066,5949
644068,62,10,57,68,93,91,117
4681,751,157,1066,1365,2185,1068,6063
3362,8,0,4,14,15,23,20
255104,199,51,119,419,157,582,325
54546,18,3,2,30,0,72,38
105376823,0,2,2,11,1,8,2
23252,212,126,165,479,259,474,345
30814,0,3,0,2,0,0,0
5320,113,58,42,299,70,157,22
5322,15,60,14,63,11,17,34
26279,49,1,18,26,21,2,3
64600,1,4,2,12,2,46,6
391013,0,0,4,3,5,4,9
127733,49,64,55,268,26,150,150
101928017,0,2,2,6,2,0,9
105376825,3,1,3,13,1,12,3
105376826,0,0,0,4,2,1,1
105376827,0,0,0,0,0,0,0
105376828,0,0,0,0,0,4,0
127731,2,1,1,4,0,16,3
339505,1,0,0,0,0,3,1
55450,110,139,62,580,41,908,256
79594,114,42,129,302,179,192,294
163933,12,2,6,9,8,10,8
978,13,3,18,138,8,65,4
65018,214,73,151,640,290,412,381
102464833,7,3,2,12,11,11,8
100861548,212,80,172,520,282,342,321
1650,703,453,856,1859,1131,1233,1514
57576,17,0,6,18,12,12,22
400745,2,3,2,4,6,4,61
112268222,244,88,267,395,267,295,255
50809,1556,621,1259,2722,1876,2840,1768
8672,1334,596,1168,1876,1878,2111,2463
105376830,29,11,42,100,45,87,63
105376829,30,14,31,56,42,42,53
100302155,4,1,3,8,7,8,2
1889,778,206,250,1491,748,1140,1742
100506801,42,3,11,41,41,31,54
105376832,0,0,0,0,0,0,0
84224,86,11,46,217,33,329,86
249,58,14,22,232,184,96,14
105376834,7,1,0,2,2,0,0
5909,69,140,21,1553,31,307,263
84196,1417,335,862,1478,1346,1159,1112
401944,297,99,342,709,670,682,1150
3339,4920,1654,4665,11543,11428,11658,22602
23436,0,0,0,1,0,16,0
10136,0,0,0,0,0,8,0
101928043,2,2,2,7,3,7,0
29092,44,36,44,65,88,47,38
112268223,5,7,5,13,18,9,8
998,1721,526,2270,2966,2626,1950,2446
54361,82,9,83,182,114,63,637
105376845,4,4,3,8,7,17,55
105376850,0,9,3,36,6,35,9
107985377,0,1,0,6,0,6,0
100616433,0,0,0,1,0,6,0
105376856,0,0,0,0,0,0,32
9923,583,167,318,810,907,767,581
2046,1,0,0,1,0,7,1
102466615,0,0,0,0,0,0,0
712,1069,61,1626,584,2946,402,1774
714,863,64,1367,684,3076,604,1963
713,960,91,1977,749,3985,728,2137
2048,130,617,227,428,341,826,1992
100616391,1,0,2,1,1,3,4
100422914,4,9,7,13,12,20,61
646262,0,0,0,1,0,2,0
729059,2,0,0,0,0,0,1
23028,617,289,651,1246,814,1079,1312
100422866,2,0,3,2,1,3,6
7798,795,186,947,1744,1319,1204,1788
3352,6,2,2,4,2,77,23
100996511,86,98,99,216,36,192,75
10236,1358,895,1472,2368,1411,1908,1473
80818,287,193,174,538,174,218,188
148898,53,46,15,147,28,51,24
6920,157,164,175,983,198,249,369
55616,276,105,230,380,384,214,551
1870,25,44,9,101,17,90,27
101928163,1,3,0,3,1,4,4
105376859,0,0,1,2,2,14,3
3399,350,40,186,740,262,427,500
107984928,2,0,0,4,0,3,1
259283,4,0,0,2,0,4,4
6135,3730,2441,3716,4261,4361,3689,3067
6924,479,141,411,993,700,661,689
100506963,52,16,50,100,70,68,78
57095,192,110,165,430,253,339,268
105376860,12,8,6,34,15,38,38
11313,140,97,97,604,211,596,427
2582,70,120,64,815,69,450,373
3155,96,83,93,519,95,197,217
105376861,0,0,0,4,1,1,0
2517,357,128,281,610,353,301,354
1269,132,2,30,66,24,5,4
107984929,10,2,2,4,1,4,0
100616492,0,0,0,0,0,0,0
55629,738,393,966,1210,1056,925,920
10772,1551,830,1730,2299,1841,1967,2161
105378615,0,0,0,0,0,0,0
105376863,1,1,1,3,0,36,0
107984931,0,5,0,13,0,8,2
127294,21,57,6,458,9,196,62
107985737,0,5,4,33,0,14,5
105376864,1,4,0,40,0,21,2
58985,11,71,14,311,6,595,79
163702,68,38,58,331,90,203,230
284632,0,1,0,0,0,8,1
105376871,0,8,0,4,0,15,0
57822,1,4,3,20,0,57,10
90529,40,8,31,52,23,57,80
57185,244,113,276,542,277,517,709
100750325,3,0,2,2,1,2,0
11123,338,33,262,421,220,301,129
100506985,17,3,13,26,10,15,4
400746,95,0,6,38,28,36,12
10250,1144,434,947,1656,1358,1698,1563
25932,2046,385,4901,2775,6186,952,12704
105376876,2,2,9,3,26,0,112
864,206,6,137,230,306,44,130
102465437,7,0,1,1,7,0,1
107984932,57,0,38,44,55,11,10
105376878,87,1,42,78,59,30,24
100616365,0,0,0,0,0,0,0
105376879,1,0,0,0,1,4,0
25949,299,140,204,380,295,414,306
57035,670,402,532,1692,1019,1473,978
105376882,0,0,2,3,0,3,2
6007,30,22,53,118,39,70,53
23585,273,92,304,583,350,406,479
6006,152,47,165,316,205,219,243
55219,349,130,224,628,373,541,425
26119,279,124,120,562,263,525,373
57134,363,100,138,421,244,87,110
57190,543,195,476,1007,947,986,1609
56181,198,69,134,299,213,198,282
646471,67,26,31,132,61,91,111
79000,23,29,19,82,35,60,30
164091,79,39,82,87,102,115,134
3925,241,136,209,545,247,602,247
100500808,5,4,5,22,3,9,6
105376885,0,0,0,0,0,1,0
5051,97,71,71,352,92,280,113
101928216,4,0,2,3,5,8,12
2134,8,1,17,13,26,10,52
7780,6,4,0,13,2,2,1
105376910,0,0,0,0,0,5,0
84676,6,0,3,156,0,3,3
149420,118,48,78,252,68,127,48
105376886,2,3,1,3,0,1,0
79927,45,6,12,18,12,9,4
110806296,0,0,0,0,0,0,0
51042,57,44,41,154,107,111,81
10256,50,48,18,211,39,509,93
378807,0,1,0,2,0,8,0
101928303,2,0,0,12,1,4,0
64793,117,60,53,516,97,286,111
83442,429,141,504,1784,961,1060,1035
91544,263,45,130,518,297,285,574
1043,310,6,134,175,87,58,20
55057,75,73,34,211,2,683,108
257101,1,0,6,5,1,5,5
79727,2,1,0,4,0,7,4
79947,270,76,174,450,276,369,416
101928324,37,16,11,51,20,26,17
3151,988,595,982,1674,1159,847,1015
6195,335,195,265,775,466,860,934
100302190,1,1,1,3,1,5,3
105376888,2,0,1,1,1,2,0
101928728,8,7,5,10,2,6,6
8289,1196,327,628,1732,1382,1698,1414
55650,57,20,46,170,70,96,105
84243,205,50,134,361,249,245,282
2810,43,142,58,858,6,562,91
54707,177,80,153,387,215,282,337
63906,71,28,50,114,80,122,116
10726,381,272,244,747,504,662,675
8431,1,20,0,126,0,23,0
126695,8,28,6,96,8,100,7
388610,36,43,55,275,102,183,178
115572,24,7,38,154,62,30,70
101928391,0,0,1,7,3,4,2
6548,190,159,166,438,327,568,1461
102723760,0,0,0,0,0,1,0
105376890,0,0,0,0,0,1,0
23038,431,145,240,640,513,710,812
84065,110,43,98,247,120,189,181
644961,35,7,34,94,48,73,56
84958,269,87,67,438,179,35,118
9064,352,59,325,662,850,411,1397
8547,7,5,5,215,6,5,5
388611,2,0,0,9,0,3,1
2827,16,1,13,10,28,9,30
10163,1696,531,1620,2216,2067,1905,2094
105376892,2,1,1,11,4,5,7
27245,227,99,193,641,412,464,759
2268,239,26,209,290,548,238,397
111216282,0,0,2,0,0,0,1
2537,362,41,433,362,365,483,864
199870,229,76,161,334,192,246,162
23673,654,139,663,734,821,457,1291
5511,218,104,217,445,301,267,294
677774,20,10,27,34,25,15,13
9473,990,35,758,717,2007,285,2036
6118,221,73,196,324,326,131,180
27293,62,28,18,83,77,77,80
55113,62,4,46,101,95,61,104
2140,357,156,248,616,361,483,400
5724,172,23,201,345,318,109,266
22826,379,190,370,609,528,425,536
93974,158,200,158,558,153,452,251
83667,107,77,99,251,296,169,448
54797,50,30,49,206,79,173,129
65979,346,195,285,766,387,620,733
1104,139,188,135,618,262,488,239
8420,100,254,166,719,202,745,289
6080,2374,1610,3933,5331,3913,10222,2746
26768,3028,1762,3196,6007,5114,12196,3165
54952,132,30,92,178,154,135,194
85028,127,105,119,272,171,251,240
692212,3,5,8,22,12,22,19
677838,29,13,28,36,19,28,17
677825,11,3,7,19,18,17,25
692073,29,9,17,63,31,57,30
115273,25,5,12,20,26,23,59
6883,143,80,104,210,147,148,96
105378616,73,23,44,65,72,48,44
26824,62,20,39,47,58,43,34
10691,180,77,192,331,270,250,313
51441,527,248,609,1029,738,701,732
4985,4,0,1,57,3,9,2
2035,1270,312,549,1376,642,1160,1005
399474,96,25,109,121,197,70,183
6429,618,242,342,875,803,604,842
51102,74,66,45,215,87,229,109
10076,151,223,295,442,638,211,917
101928460,0,0,1,5,13,3,11
107984933,1,0,0,0,1,0,0
107984934,0,0,2,2,1,0,6
101929406,1,1,0,1,2,2,7
105378617,3,0,3,2,0,5,1
105378618,0,1,0,0,0,1,0
4146,14,6,2,9,10,5,9
100129196,38,13,6,44,23,21,39
7805,2137,136,2613,1851,5143,897,3646
100616164,13,0,8,5,17,3,21
105378620,539,12,257,235,1226,104,885
105378621,0,0,0,1,5,0,0
105378622,0,0,0,0,1,1,0
400748,0,0,1,0,2,2,0
9672,663,196,692,746,1792,883,1528
9698,1198,508,874,2302,1650,2274,2152
692234,9,9,8,14,14,18,23
692235,10,5,6,25,18,20,21
692200,14,2,0,7,5,6,4
107984935,0,0,0,3,3,0,0
79570,0,0,1,3,0,8,2
9410,192,106,159,328,190,230,222
51538,117,54,109,252,198,204,241
2170,45,93,33,113,40,65,96
105378623,0,0,0,2,0,0,0
107985470,0,0,0,3,1,0,0
347735,154,92,111,1144,13,1616,776
105378625,8,43,0,20,0,22,19
105379772,6,56,0,31,0,6,18
149086,7,8,2,9,0,9,8
284551,9,8,1,7,4,4,13
105378626,45,83,14,168,7,437,66
64129,446,161,142,1181,261,1733,1108
3061,45,5,22,34,30,21,27
553115,266,86,179,501,274,281,391
107985471,32,6,24,36,26,44,74
105378628,7,1,5,5,2,1,9
1307,2589,433,3358,2501,3987,3261,8539
101929444,54,11,47,167,34,74,178
576,51,6,79,61,295,59,539
100423028,0,0,0,0,0,0,2
90853,7,12,18,138,69,115,71
8073,1574,603,1374,2344,1766,1436,1625
10657,1105,496,996,1654,1048,1518,1162
55116,86,27,56,138,97,135,129
100847018,0,2,1,2,0,0,2
23633,920,322,916,1705,1323,1175,1778
200081,822,236,620,1868,1560,1255,1420
79140,57,11,39,153,44,78,116
56063,121,41,84,359,113,274,361
55721,60,30,42,188,26,101,151
149069,63,22,40,165,43,129,200
8668,519,306,470,1326,704,822,912
339483,167,17,56,177,129,118,273
84734,9,2,6,29,6,16,32
3932,179,55,105,182,107,54,59
3065,388,264,273,1121,309,1011,520
65108,342,340,254,1401,414,1646,355
105378629,4,5,1,7,0,3,11
81629,70,29,42,132,60,117,98
100128071,5,7,2,9,12,8,8
55108,689,176,399,1133,657,937,1224
728116,1,0,6,6,1,15,13
653121,165,66,312,321,287,137,352
102723870,6,1,2,4,8,4,11
339487,149,71,129,200,120,218,150
5928,903,423,893,1512,946,1012,957
81493,309,134,368,626,409,362,498
57648,227,320,210,1006,299,1868,1497
