Symbol,GSM8245471,GSM8245473,GSM8245474,GSM8245475,GSM8245476,GSM8245477,GSM8245478
ACAP3,401,225,172,640,759,731,837
MIR6726,0,0,0,1,1,1,1
SNORD167,5,3,2,6,10,8,7
PUSL1,46,28,43,142,69,89,85
INTS11,389,161,229,725,594,871,857
MIR6727,1,0,1,6,2,3,1
CPTP,59,48,34,193,93,172,113
TAS1R3,65,14,10,72,106,63,50
DVL1,227,148,139,751,386,855,764
MIR6808,1,0,1,1,2,2,1
MXRA8,618,106,1073,1039,1616,605,3068
AURKAIP1,154,109,89,361,191,261,236
CCNL2,1377,467,1033,2909,1960,4178,3570
MRPL20-AS1,98,58,50,217,90,187,125
MRPL20,204,94,131,365,250,247,217
LOC107984868,0,0,4,3,4,7,6
ANKRD65,11,6,31,19,9,15,28
ANKRD65-AS1,0,0,3,0,0,6,3
TMEM88B,0,0,0,0,0,0,1
LINC01770,7,0,1,34,2,6,3
LOC107985729,6,1,1,40,3,8,10
VWA1,113,46,77,979,146,342,280
ATAD3C,23,7,11,78,30,51,48
ATAD3B,251,153,150,729,554,749,705
ATAD3A,92,157,73,351,284,463,339
TMEM240,2,6,7,5,16,5,13
SSU72,242,139,187,501,339,425,336
FNDC10,11,23,31,31,69,60,63
LOC105378586,3,0,4,8,3,2,4
MIB2,275,131,150,587,638,658,630
MMP23B,61,25,94,58,263,35,116
CDK11B,416,150,176,563,478,753,707
SLC35E2B,658,187,412,1418,680,1246,655
MMP23A,32,16,68,32,178,14,76
CDK11A,379,95,142,569,466,834,690
SLC35E2A,359,118,232,650,302,682,499
LOC112268218,36,12,18,75,41,66,37
NADK,414,208,183,947,567,847,530
GNB1,1637,579,1757,3034,2689,2408,3178
GNB1-DT,4,0,1,11,4,10,5
CALML6,4,1,0,28,2,2,9
TMEM52,4,7,0,60,3,3,3
CFAP74,3,6,1,27,2,7,4
LOC107984872,1,7,0,1,1,4,1
LOC105378589,0,8,0,2,0,10,5
GABRD,6,4,0,6,18,9,32
LOC105378590,0,1,0,2,0,1,0
PRKCZ-DT,0,0,0,0,0,3,0
PRKCZ,83,111,33,214,54,354,213
PRKCZ-AS1,10,20,4,20,10,36,36
FAAP20,112,39,62,236,212,265,250
LOC112268219,31,8,11,87,60,67,99
LOC105378593,6,2,3,11,4,9,15
SKI,1554,283,1002,1697,2415,1585,2762
MORN1,50,46,27,124,55,105,114
LOC100129534,7,4,6,17,9,11,5
RER1,394,214,371,845,507,833,653
PEX10,73,58,65,242,109,202,176
PLCH2,117,49,37,161,83,264,36
PANK4,149,59,92,350,268,272,323
HES5,0,0,0,3,0,2,0
TNFRSF14-AS1,121,196,30,191,89,345,138
TNFRSF14,428,176,149,712,398,900,766
LOC100996583,8,0,4,16,2,17,10
PRXL2B,64,123,24,297,46,467,141
MMEL1,12,48,8,36,5,81,23
MMEL1-AS1,2,0,0,4,2,4,2
TTC34,16,9,3,26,6,33,27
LOC105378603,0,0,0,0,0,0,0
LOC105378602,0,0,0,0,0,0,0
LOC105378601,0,0,0,0,0,0,0
LOC112268220,0,0,0,0,0,0,0
LOC107985732,0,1,0,0,0,1,0
LOC105378600,0,0,0,0,0,0,1
LOC105378598,1,1,0,0,2,2,1
LOC107984904,0,1,0,0,0,0,0
LOC105378599,0,0,0,0,0,1,0
ACTRT2,0,0,0,0,0,1,0
PRDM16-DT,3,11,2,5,1,7,1
PRDM16,7,47,0,22,7,43,34
MIR4251,0,0,0,0,0,0,1
LOC105378606,3,5,1,10,5,4,15
LOC107984909,1,10,1,4,0,6,8
LOC105378605,2,6,4,1,1,4,2
LOC105378604,7,42,5,33,6,204,56
ARHGEF16,84,152,23,480,7,827,253
MEGF6,573,179,440,1126,502,2817,1163
LOC105378608,7,0,5,3,1,18,8
MIR551A,1,0,0,0,0,0,2
LOC105378607,2,0,0,2,0,0,1
TPRG1L,279,166,212,551,250,563,324
WRAP73,90,39,71,159,62,169,106
TP73,21,1,5,22,22,14,7
TP73-AS3,2,0,2,3,8,4,0
LOC105378609,0,0,0,1,2,3,0
TP73-AS1,238,22,127,244,259,111,404
CCDC27,0,1,2,1,0,2,2
SMIM1,3,0,3,9,5,1,18
LRRC47,241,108,177,551,343,442,454
CEP104,293,131,174,638,306,603,401
DFFB,61,26,39,122,67,180,37
LOC107984910,2,6,4,3,1,6,7
C1orf174,121,74,80,221,111,215,214
LINC01134,2,2,1,7,0,23,1
LINC01346,0,0,0,0,0,1,0
LINC01345,0,0,0,0,0,1,0
LINC02780,0,0,0,0,1,3,0
LINC01777,0,0,0,1,0,4,0
LOC105376674,0,0,0,0,0,2,0
LINC01646,0,0,0,0,0,1,0
LOC107985376,0,0,0,1,0,1,2
AJAP1,23,0,25,40,8,23,549
LINC02781,0,0,0,0,0,2,0
LOC102724429,0,0,0,0,0,3,0
LINC02782,0,0,0,1,0,0,0
LOC105376682,0,0,0,1,0,0,0
LOC107984911,0,0,0,2,0,3,0
LOC105376686,0,0,0,1,0,3,0
MIR4689,1,0,0,1,2,7,3
NPHP4,130,84,122,333,376,362,466
KCNAB2,381,128,221,383,656,433,681
CHD5,7,26,4,12,8,26,161
LOC105376687,2,0,1,0,1,2,1
RPL22,2309,1583,2209,2920,2379,2302,1827
LOC107985733,12,9,9,18,9,16,34
RNF207-AS1,0,0,2,6,2,3,8
RNF207,131,93,82,406,148,442,730
ICMT,318,341,406,1228,480,609,693
ICMT-DT,4,0,0,5,2,2,0
HES3,3,0,0,5,0,1,1
GPR153,165,34,102,841,176,337,265
ACOT7,47,132,57,330,93,244,109
HES2,11,36,6,101,1,135,39
ESPN,14,73,4,134,4,156,22
MIR4252,0,0,0,0,0,0,0
TNFRSF25,84,38,29,122,54,284,113
PLEKHG5,293,145,96,269,316,775,601
NOL9,381,183,332,655,432,518,361
TAS1R1,13,0,1,5,24,6,15
LOC107984912,1,0,2,1,4,2,3
ZBTB48,170,42,66,264,225,273,280
KLHL21,276,84,248,831,519,479,629
LOC107984913,13,2,6,16,10,8,3
PHF13,206,44,295,340,455,215,431
THAP3,91,47,54,167,118,161,160
DNAJC11,251,181,134,475,252,514,429
LINC01672,0,0,0,0,0,1,0
CAMTA1-DT,2,0,1,2,3,3,0
CAMTA1,263,59,415,437,392,384,393
LOC105376692,1,1,0,1,1,3,3
CAMTA1-AS2,0,1,0,0,0,3,3
CAMTA1-AS1,0,0,1,2,0,4,6
LOC105376691,2,0,0,0,0,2,2
LOC105376689,11,2,13,42,8,85,18
VAMP3,621,155,762,1009,803,742,748
PER3,630,72,431,655,376,161,417
UTS2,5,5,2,5,0,9,1
TNFRSF9,67,4,68,43,57,24,158
PARK7,428,192,406,843,557,453,631
ERRFI1,3840,389,4427,8942,10442,2277,21291
LOC107984915,1,1,0,2,1,13,3
LINC01714,0,0,2,4,3,2,3
LOC105376695,1,0,1,0,0,2,1
SLC45A1,20,4,36,24,65,12,169
RERE,1396,386,799,1673,1445,1938,3854
RERE-AS1,28,7,11,31,16,30,20
SNORD128,0,0,1,6,6,9,6
ENO1,1665,1363,2522,5995,5392,4731,12222
MIR6728,1,0,3,8,4,7,8
ENO1-AS1,4,1,0,5,1,0,3
LOC112268261,1,0,0,13,0,13,0
CA6,0,0,0,1,1,3,1
SLC2A7,0,0,1,0,1,0,1
SLC2A5,68,8,265,105,711,39,1081
GPR157,83,40,45,364,167,339,149
MIR34AHG,79,54,81,150,131,145,534
MIR34A,4,3,1,6,6,7,21
LNCTAM34A,8,3,7,29,21,13,62
H6PD,1613,482,1080,4763,2251,1868,3789
SPSB1,356,82,503,528,1141,245,2809
LINC02606,8,2,10,12,8,11,17
SLC25A33,71,21,93,262,135,88,95
TMEM201,75,51,53,203,132,184,169
LOC107985734,6,2,0,5,5,7,4
LOC105376712,2,0,0,0,0,0,0
PIK3CD,537,24,250,354,761,155,1259
PIK3CD-AS1,18,0,6,10,13,6,7
PIK3CD-AS2,16,0,12,9,25,0,15
CLSTN1,1153,345,963,2765,2036,1670,3941
CTNNBIP1,153,49,95,410,108,278,232
LOC105376717,12,2,7,35,8,27,28
LZIC,271,137,262,625,291,405,228
NMNAT1,62,35,57,241,85,154,113
TMEM274P,3,11,2,13,2,16,2
MIR5697,0,5,0,3,0,3,0
RBP7,128,6,18,50,82,24,8
UBE4B,565,265,401,870,537,930,777
KIF1B,1367,454,2428,3735,3534,2171,4197
LOC105376725,24,6,40,46,57,52,86
PGD,407,249,338,725,423,745,497
CENPS-CORT,9,10,9,24,13,31,13
CENPS,8,9,10,25,13,29,10
CORT,2,1,3,4,2,6,5
DFFA,264,170,229,607,338,548,386
PEX14,114,35,61,203,129,183,225
CASZ1,109,157,46,655,65,549,247
LOC105376733,1,0,0,1,0,2,0
LOC105376735,0,0,0,0,0,2,0
C1orf127,11,1,3,1,5,6,0
TARDBP,1120,402,906,1664,1219,1437,1220
MASP2,86,17,51,444,21,33,49
SRM,128,98,144,340,325,256,319
EXOSC10,479,159,306,683,479,689,798
EXOSC10-AS1,21,4,16,27,29,23,31
MTOR,838,340,503,1827,998,1614,1488
MTOR-AS1,17,11,17,49,35,33,45
ANGPTL7,117,9,24,77,44,63,83
UBIAD1,136,66,91,286,146,210,127
LOC105376737,1,0,0,1,2,0,3
LOC105376739,1,0,1,0,0,1,0
LOC105376740,0,0,0,0,0,1,1
DISP3,1,0,2,7,1,16,1
LOC112268221,1,0,2,0,0,4,2
LINC01647,0,0,0,0,0,1,1
FBXO2,22,2,20,27,5,5,149
FBXO44,134,20,70,125,121,175,309
FBXO6,48,10,28,97,46,46,50
MAD2L2,71,35,61,128,143,123,144
DRAXIN,3,2,4,12,0,22,1
AGTRAP,80,80,89,192,149,144,260
C1orf167,96,18,31,139,111,111,137
C1orf167-AS1,0,0,0,0,0,0,0
MTHFR,587,112,230,825,639,535,887
CLCN6,263,84,156,399,344,450,528
NPPA-AS1,30,11,14,32,24,36,35
NPPA,4,3,2,11,10,21,5
NPPB,0,0,0,0,0,0,1
RNU5E-1,36,9,33,84,44,66,45
KIAA2013,208,148,179,599,359,489,458
PLOD1,375,219,681,1284,1440,734,2959
MFN2,630,221,444,1308,779,788,1111
MIIP,107,48,70,193,207,264,186
MIR6729,0,0,1,1,1,2,2
TNFRSF8,103,9,82,20,453,17,246
MIR7846,1,1,1,2,5,1,3
TNFRSF1B,865,104,763,724,3018,482,2249
MIR4632,5,1,2,4,17,7,18
LOC107984917,12,0,1,7,19,5,9
VPS13D,2554,789,1780,3809,2600,3279,4105
SNORA59A,16,8,15,28,22,36,37
LINC02766,20,1,6,44,9,14,33
DHRS3,746,71,510,844,820,515,2526
MIR6730,4,0,4,4,6,10,32
AADACL4,5,0,0,0,3,3,3
AADACL3,1,0,0,0,0,2,0
CFAP107,0,0,0,4,0,3,0
PRAMEF12,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,5,0
LINC01784,0,0,0,0,0,1,0
PRAMEF11,0,0,0,1,0,2,0
HNRNPCL1,0,0,0,1,0,0,1
PRAMEF2,0,0,0,0,0,0,0
PRAMEF4,0,0,0,2,0,3,0
PRAMEF10,0,0,0,5,0,0,0
PRAMEF7,0,0,0,0,0,1,0
PRAMEF6,0,0,0,0,0,1,0
PRAMEF27,0,0,0,0,0,0,0
HNRNPCL3,0,1,0,0,0,1,0
PRAMEF25,0,0,0,0,0,1,0
PRAMEF34P,0,0,0,0,0,1,0
HNRNPCL2,0,0,0,0,0,3,1
PRAMEF36P,0,0,0,0,0,1,0
PRAMEF26,0,0,0,0,0,1,0
HNRNPCL4,0,1,0,0,0,1,0
PRAMEF9,0,0,0,0,0,1,0
PRAMEF13,0,0,0,0,0,1,0
PRAMEF18,0,1,0,0,0,1,0
PRAMEF5,0,0,0,0,0,3,0
PRAMEF8,0,0,0,0,0,2,0
PRAMEF33,0,0,0,3,0,1,0
PRAMEF15,0,0,0,2,0,4,0
PRAMEF14,0,0,0,0,0,3,0
PRAMEF19,0,1,0,0,0,0,0
PRAMEF17,0,0,0,0,0,2,0
PRAMEF20,0,0,0,0,0,3,0
LRRC38,0,0,0,23,2,2,2
LOC102724856,0,0,0,5,1,3,1
LOC107984918,0,0,0,1,0,0,1
PDPN,322,23,775,374,1953,177,2176
LOC107984919,5,0,13,5,28,4,52
LOC105378612,0,0,1,0,0,1,1
LOC105376756,0,0,0,0,1,0,0
PRDM2,1438,314,870,1265,1181,1180,1041
KAZN,156,51,74,207,162,267,278
LOC107985467,19,12,5,41,5,24,8
LOC107985468,4,3,1,9,1,6,1
KAZN-AS1,9,9,1,17,4,13,1
LOC105376759,12,7,2,21,6,13,8
LOC107985469,1,0,1,2,1,9,1
TMEM51-AS1,26,23,24,77,41,169,83
TMEM51,82,45,95,246,191,216,438
TMEM51-AS2,30,21,46,110,89,115,233
FHAD1,47,258,50,233,32,157,269
FHAD1-AS1,6,21,14,33,8,18,26
EFHD2-AS1,84,8,33,204,128,136,249
EFHD2,449,125,319,1207,818,1061,1096
CTRC,5,0,3,2,32,10,20
CELA2A,2,0,2,3,16,9,3
LOC105376767,2,0,1,2,12,4,4
CELA2B,16,3,7,13,36,19,25
CASP9,117,19,80,194,268,216,336
DNAJC16,324,173,232,738,361,534,337
SCARNA21B,2,0,1,1,1,3,1
AGMAT,22,182,17,426,28,166,26
DDI2,757,345,648,1749,881,1475,1013
RSC1A1,140,58,120,288,166,258,168
PLEKHM2,608,117,397,977,1374,943,1894
SLC25A34,32,7,15,72,81,30,78
SLC25A34-AS1,2,0,0,3,2,2,5
TMEM82,1,11,0,43,1,5,1
FBLIM1,312,331,418,688,980,914,1493
UQCRHL,40,33,28,84,23,94,35
SPEN-AS1,53,13,25,72,67,66,56
SPEN,2153,711,1416,2771,3015,2988,3422
ZBTB17,278,59,161,372,506,358,742
SRARP,1,0,0,2,0,3,0
HSPB7,99,13,88,286,346,34,815
CLCNKA,4,0,1,6,5,5,26
CLCNKB,3,1,8,0,16,3,28
FAM131C,0,5,3,3,7,6,10
EPHA2,757,335,363,2373,496,1944,2407
EPHA2-AS1,38,34,7,155,15,195,103
ARHGEF19,53,65,77,135,141,217,253
ANO7L1,11,6,6,30,12,52,7
CPLANE2,20,11,15,20,28,42,35
FBXO42,407,130,493,554,540,401,1251
SZRD1,404,151,461,833,805,547,929
SPATA21,232,95,277,457,457,307,457
NECAP2,404,123,344,687,500,687,713
LINC01772,64,13,46,73,39,107,69
CROCCP3,158,29,92,142,114,269,182
RNU1-1,10504,2608,10195,18505,21096,18410,21390
TRN-GTT5-1,0,0,0,0,0,0,0
LINC01783,11,3,2,3,0,5,3
TRE-TTC4-1,5,1,1,2,0,0,1
TRG-CCC1-1,0,0,0,1,0,0,2
NBPF1,423,105,382,756,405,1022,726
LOC105376794,222,111,73,765,123,705,288
CROCCP2,106,48,38,304,85,321,230
MST1P2,11,6,8,1040,24,37,79
LOC107985736,4,2,4,11,3,13,2
RNU1-3,10565,2636,10224,18508,21138,18481,21404
TRG-CCC4-1,4,0,1,3,0,0,1
ESPNP,7,0,2,9,0,21,9
TRG-CCC5-1,0,0,0,0,0,0,0
RNU1-4,11013,2673,10463,18553,21707,18950,21890
MST1L,10,6,10,311,21,25,32
MIR3675,0,0,0,0,0,1,0
TRG-CCC1-2,0,0,0,0,0,1,0
LOC112267871,7,6,1,1,1,3,7
TRE-TTC3-1,3,2,0,0,0,0,2
TRN-GTT13-1,0,0,0,0,0,0,0
LOC105376805,28,8,19,40,12,48,25
TRN-GTT4-1,0,0,1,1,0,0,0
RNU1-2,10978,2672,10398,18385,21510,18726,21760
CROCC,315,71,126,398,590,756,832
MFAP2,86,20,362,226,452,77,1394
LOC105376806,25,2,64,37,76,14,277
ATP13A2,209,79,116,594,294,830,1167
SDHB,223,131,180,442,216,256,251
PADI2,100,2,119,929,240,40,435
LOC105376808,0,0,0,0,0,2,0
LINC02783,0,0,0,0,0,2,9
PADI1,4,4,10,74,3,49,14
PADI3,0,54,0,542,0,2,5
MIR3972,0,2,0,8,0,0,0
PADI4,24,2,4,23,43,21,17
PADI6,0,0,0,0,1,2,0
RCC2,595,646,586,2136,1154,2246,1289
ARHGEF10L,386,333,259,1878,786,1646,1424
LINC02810,0,0,0,1,0,0,0
ACTL8,0,8,0,25,0,3,0
LOC105376809,0,0,0,0,1,1,0
LOC105376812,0,0,0,0,0,1,0
LINC01654,0,0,0,0,0,4,0
IGSF21,37,1,105,45,223,6,95
IGSF21-AS1,19,3,69,25,78,6,17
KLHDC7A,4,2,3,22,0,4,0
PAX7,1,2,0,46,0,6,0
TAS1R2,1,0,0,0,0,5,0
ALDH4A1,97,35,36,1072,57,80,143
MIR4695,0,0,0,0,0,0,0
MIR1290,0,0,0,3,0,1,1
IFFO2,268,34,162,415,293,307,772
LOC105376815,0,0,0,2,0,8,0
UBR4,4317,1486,2958,7624,6050,6698,11562
EMC1-AS1,27,7,30,58,34,35,47
EMC1,509,226,432,1061,661,701,895
MRTO4,128,144,155,494,286,315,253
AKR7L,14,97,14,193,16,97,19
AKR7A3,30,325,21,314,16,124,50
LOC100506730,36,46,27,61,35,98,57
AKR7A2,187,165,143,403,215,246,407
SLC66A1,184,30,96,206,269,127,398
CAPZB,1087,310,1097,1639,1993,1269,3641
LOC105376819,7,0,5,3,7,6,21
LOC105376818,2,0,1,0,5,0,9
LOC105376817,5,1,6,5,2,3,17
MICOS10-DT,0,1,0,1,1,0,0
MICOS10,160,88,210,309,215,180,470
MICOS10-NBL1,741,162,1086,1399,2118,1066,5949
RPS14P3,62,10,57,68,93,91,117
NBL1,751,157,1066,1365,2185,1068,6063
HTR6,8,0,4,14,15,23,20
TMCO4,199,51,119,419,157,582,325
RNF186,18,3,2,30,0,72,38
LOC105376823,0,2,2,11,1,8,2
OTUD3,212,126,165,479,259,474,345
PLA2G2E,0,3,0,2,0,0,0
PLA2G2A,113,58,42,299,70,157,22
PLA2G5,15,60,14,63,11,17,34
PLA2G2D,49,1,18,26,21,2,3
PLA2G2F,1,4,2,12,2,46,6
PLA2G2C,0,0,4,3,5,4,9
UBXN10,49,64,55,268,26,150,150
UBXN10-AS1,0,2,2,6,2,0,9
LOC105376825,3,1,3,13,1,12,3
LOC105376826,0,0,0,4,2,1,1
LINC01757,0,0,0,0,0,0,0
LOC105376828,0,0,0,0,0,4,0
VWA5B1,2,1,1,4,0,16,3
LINC01141,1,0,0,0,0,3,1
CAMK2N1,110,139,62,580,41,908,256
MUL1,114,42,129,302,179,192,294
FAM43B,12,2,6,9,8,10,8
CDA,13,3,18,138,8,65,4
PINK1,214,73,151,640,290,412,381
MIR6084,7,3,2,12,11,11,8
PINK1-AS,212,80,172,520,282,342,321
DDOST,703,453,856,1859,1131,1233,1514
KIF17,17,0,6,18,12,12,22
SH2D5,2,3,2,4,6,4,61
LOC112268222,244,88,267,395,267,295,255
HP1BP3,1556,621,1259,2722,1876,2840,1768
EIF4G3,1334,596,1168,1876,1878,2111,2463
LOC105376830,29,11,42,100,45,87,63
LOC105376829,30,14,31,56,42,42,53
MIR1256,4,1,3,8,7,8,2
ECE1,778,206,250,1491,748,1140,1742
ECE1-AS1,42,3,11,41,41,31,54
LOC105376832,0,0,0,0,0,0,0
NBPF3,86,11,46,217,33,329,86
ALPL,58,14,22,232,184,96,14
LINC02596,7,1,0,2,2,0,0
RAP1GAP,69,140,21,1553,31,307,263
USP48,1417,335,862,1478,1346,1159,1112
LDLRAD2,297,99,342,709,670,682,1150
HSPG2,4920,1654,4665,11543,11428,11658,22602
CELA3B,0,0,0,1,0,16,0
CELA3A,0,0,0,0,0,8,0
LINC01635,2,2,2,7,3,7,0
LINC00339,44,36,44,65,88,47,38
CDC42-AS1,5,7,5,13,18,9,8
CDC42,1721,526,2270,2966,2626,1950,2446
WNT4,82,9,83,182,114,63,637
LOC105376845,4,4,3,8,7,17,55
LOC105376850,0,9,3,36,6,35,9
LOC107985377,0,1,0,6,0,6,0
MIR4418,0,0,0,1,0,6,0
LOC105376856,0,0,0,0,0,0,32
ZBTB40,583,167,318,810,907,767,581
EPHA8,1,0,0,1,0,7,1
MIR6127,0,0,0,0,0,0,0
C1QA,1069,61,1626,584,2946,402,1774
C1QC,863,64,1367,684,3076,604,1963
C1QB,960,91,1977,749,3985,728,2137
EPHB2,130,617,227,428,341,826,1992
MIR4684,1,0,2,1,1,3,4
MIR4253,4,9,7,13,12,20,61
LACTBL1,0,0,0,1,0,2,0
TEX46,2,0,0,0,0,0,1
KDM1A,617,289,651,1246,814,1079,1312
MIR3115,2,0,3,2,1,3,6
LUZP1,795,186,947,1744,1319,1204,1788
HTR1D,6,2,2,4,2,77,23
LINC01355,86,98,99,216,36,192,75
HNRNPR,1358,895,1472,2368,1411,1908,1473
ZNF436,287,193,174,538,174,218,188
ZNF436-AS1,53,46,15,147,28,51,24
TCEA3,157,164,175,983,198,249,369
ASAP3,276,105,230,380,384,214,551
E2F2,25,44,9,101,17,90,27
LOC101928163,1,3,0,3,1,4,4
LOC105376859,0,0,1,2,2,14,3
ID3,350,40,186,740,262,427,500
LOC107984928,2,0,0,4,0,3,1
MDS2,4,0,0,2,0,4,4
RPL11,3730,2441,3716,4261,4361,3689,3067
ELOA,479,141,411,993,700,661,689
ELOA-AS1,52,16,50,100,70,68,78
PITHD1,192,110,165,430,253,339,268
LOC105376860,12,8,6,34,15,38,38
LYPLA2,140,97,97,604,211,596,427
GALE,70,120,64,815,69,450,373
HMGCL,96,83,93,519,95,197,217
LOC105376861,0,0,0,4,1,1,0
FUCA1,357,128,281,610,353,301,354
CNR2,132,2,30,66,24,5,4
LOC107984929,10,2,2,4,1,4,0
MIR378F,0,0,0,0,0,0,0
PNRC2,738,393,966,1210,1056,925,920
SRSF10,1551,830,1730,2299,1841,1967,2161
LOC105378615,0,0,0,0,0,0,0
LOC105376863,1,1,1,3,0,36,0
LOC107984931,0,5,0,13,0,8,2
MYOM3,21,57,6,458,9,196,62
MYOM3-AS1,0,5,4,33,0,14,5
LOC105376864,1,4,0,40,0,21,2
IL22RA1,11,71,14,311,6,595,79
IFNLR1,68,38,58,331,90,203,230
LINC02800,0,1,0,0,0,8,1
GRHL3-AS1,0,8,0,4,0,15,0
GRHL3,1,4,3,20,0,57,10
STPG1,40,8,31,52,23,57,80
NIPAL3,244,113,276,542,277,517,709
RCAN3AS,3,0,2,2,1,2,0
RCAN3,338,33,262,421,220,301,129
NCMAP-DT,17,3,13,26,10,15,4
NCMAP,95,0,6,38,28,36,12
SRRM1,1144,434,947,1656,1358,1698,1563
CLIC4,2046,385,4901,2775,6186,952,12704
LOC105376876,2,2,9,3,26,0,112
RUNX3,206,6,137,230,306,44,130
MIR6731,7,0,1,1,7,0,1
LOC107984932,57,0,38,44,55,11,10
RUNX3-AS1,87,1,42,78,59,30,24
MIR4425,0,0,0,0,0,0,0
LINC02793,1,0,0,0,1,4,0
SYF2,299,140,204,380,295,414,306
RSRP1,670,402,532,1692,1019,1473,978
LOC105376882,0,0,2,3,0,3,2
RHD,30,22,53,118,39,70,53
TMEM50A,273,92,304,583,350,406,479
RHCE,152,47,165,316,205,219,243
MACO1,349,130,224,628,373,541,425
LDLRAP1,279,124,120,562,263,525,373
MAN1C1,363,100,138,421,244,87,110
SELENON,543,195,476,1007,947,986,1609
MTFR1L,198,69,134,299,213,198,282
LOC646471,67,26,31,132,61,91,111
AUNIP,23,29,19,82,35,60,30
PAQR7,79,39,82,87,102,115,134
STMN1,241,136,209,545,247,602,247
MIR3917,5,4,5,22,3,9,6
LOC105376885,0,0,0,0,0,1,0
PAFAH2,97,71,71,352,92,280,113
LOC101928216,4,0,2,3,5,8,12
EXTL1,8,1,17,13,26,10,52
SLC30A2,6,4,0,13,2,2,1
LOC105376910,0,0,0,0,0,5,0
TRIM63,6,0,3,156,0,3,3
PDIK1L,118,48,78,252,68,127,48
LOC105376886,2,3,1,3,0,1,0
FAM110D,45,6,12,18,12,9,4
C1orf232,0,0,0,0,0,0,0
ZNF593,57,44,41,154,107,111,81
CNKSR1,50,48,18,211,39,509,93
CATSPER4,0,1,0,2,0,8,0
ZPLD2P,2,0,0,12,1,4,0
CEP85,117,60,53,516,97,286,111
SH3BGRL3,429,141,504,1784,961,1060,1035
UBXN11,263,45,130,518,297,285,574
CD52,310,6,134,175,87,58,20
CRYBG2,75,73,34,211,2,683,108
ZNF683,1,0,6,5,1,5,5
LIN28A,2,1,0,4,0,7,4
DHDDS,270,76,174,450,276,369,416
DHDDS-AS1,37,16,11,51,20,26,17
HMGN2,988,595,982,1674,1159,847,1015
RPS6KA1,335,195,265,775,466,860,934
MIR1976,1,1,1,3,1,5,3
LOC105376888,2,0,1,1,1,2,0
LOC101928728,8,7,5,10,2,6,6
ARID1A,1196,327,628,1732,1382,1698,1414
PIGV,57,20,46,170,70,96,105
ZDHHC18,205,50,134,361,249,245,282
SFN,43,142,58,858,6,562,91
GPN2,177,80,153,387,215,282,337
GPATCH3,71,28,50,114,80,122,116
NUDC,381,272,244,747,504,662,675
NR0B2,1,20,0,126,0,23,0
KDF1,8,28,6,96,8,100,7
TRNP1,36,43,55,275,102,183,178
TENT5B,24,7,38,154,62,30,70
LOC101928391,0,0,1,7,3,4,2
SLC9A1,190,159,166,438,327,568,1461
LOC102723760,0,0,0,0,0,1,0
WDTC1-DT,0,0,0,0,0,1,0
WDTC1,431,145,240,640,513,710,812
