ENTREZID,SYMBOL
11775,Ap3b2
11776,Ap3d1
11777,Ap3s1
11778,Ap3s2
11781,Ap4m1
11782,Ap4s1
11783,Apaf1
11784,Apba2
11785,Apbb1
11787,Apbb2
11789,Apc
11790,Speg
11792,Apex1
11793,Atg5
11796,Birc3
11797,Birc2
11798,Xiap
11799,Birc5
11800,Api5
11801,Cd5l
11803,Aplp1
11804,Aplp2
11806,Apoa1
11807,Apoa2
11808,Apoa4
11810,Apobec1
11811,Apobec2
11812,Apoc1
11813,Apoc2
11814,Apoc3
11815,Apod
11816,Apoe
11818,Apoh
11819,Nr2f2
11820,App
11821,Aprt
11826,Aqp1
11827,Aqp2
11828,Aqp3
11829,Aqp4
11830,Aqp5
11831,Aqp6
11832,Aqp7
11833,Aqp8
11834,Aqr
11835,Ar
11836,Araf
11837,Rplp0
11838,Arc
11839,Areg
11840,Arf1
11841,Arf2
11842,Arf3
11843,Arf4
11844,Arf5
11845,Arf6
11846,Arg1
11847,Arg2
11848,Rhoa
11849,Rhoay-ps1
11850,Rhoay-ps2
11851,Rhoay-ps3
11852,Rhob
11853,Rhoc
11854,Rhod
11855,Arhgap5
11856,Arhgap6
11857,Arhgdib
11858,Rnd2
11859,Phox2a
11861,Arl4a
11863,Arnt
11864,Arnt2
11865,Bmal1
11867,Arpc1b
11870,Art1
11871,Art2a
11872,Art2b
11875,Art5
11876,Artn
11877,Arvcf
11878,Arx
11881,Arsb
11883,Arsa
11885,asa
11886,Asah1
11889,Asgr1
11890,Asgr2
11891,Rab27a
11893,Asp1
11894,Asp2
11895,Asp3
11898,Ass1
11899,Astn1
11904,at
11905,Serpinc1
11906,Zfhx3
11907,Ate1
11908,Atf1
11909,Atf2
11910,Atf3
11911,Atf4
11920,Atm
11921,Atoh1
11922,Neurod6
11923,Neurod4
11924,Neurog2
11925,Neurog3
11927,Atox1
11928,Atp1a1
11931,Atp1b1
11932,Atp1b2
11933,Atp1b3
11936,Fxyd2
11937,Atp2a1
11938,Atp2a2
11941,Atp2b2
11944,Atp4a
11945,Atp4b
11946,Atp5f1a
11947,Atp5f1b
11949,Atp5f1c
11950,Atp5pb
11951,Atp5mc1
11957,Atp5pf
11958,Atp5me
11964,Atp6v1a
11966,Atp6v1b2
11972,Atp6v0d1
11973,Atp6v1e1
11974,Atp6v0e
11975,Atp6v0a1
11977,Atp7a
11979,Atp7b
11980,Atp8a1
11981,Atp9a
11982,Atp10a
11983,Atp5if1
11984,Atp6v0c
11987,Slc7a1
11988,Slc7a2
11989,Slc7a3
11990,Atrn
11991,Hnrnpd
11992,Auh
11993,Aup1
11994,Pcdh15
11997,Akr1b7
11998,Avp
12000,Avpr2
12001,awg
12005,Axin1
12006,Axin2
12007,Azgp1
12009,Cep131
12010,B2m
12011,ba
12012,Baat
12013,Bach1
12014,Bach2
12015,Bad
12016,baf
12017,Bag1
12018,Bak1
12020,Nkx3-2
12021,Bard1
12022,Barx1
12023,Barx2
12028,Bax
12029,Bcl6b
12031,Bc1-ps1
12032,Bcan
12033,Bcap29
12034,Phb2
12035,Bcat1
12036,Bcat2
12038,Bche
12039,Bckdha
12040,Bckdhb
12041,Bckdk
12042,Bcl10
12043,Bcl2
12044,Bcl2a1a
12045,Bcl2a1b
12046,Bcl2a1c
12047,Bcl2a1d
12048,Bcl2l1
12049,Bcl2l10
12050,Bcl2l2
12051,Bcl3
12053,Bcl6
12054,Bcl7b
12055,Bcl7c
12057,Opn1sw
12059,bd
12061,Bdkrb1
12062,Bdkrb2
12064,Bdnf
12066,Bemv1
12067,Ube2n-ps1
12068,Bet1
12069,Bex2
12070,Bex3
12075,Bfsp1
12091,Glb1
12095,Bglap3
12096,Bglap
12097,Bglap2
12111,Bgn
12114,bh
12116,Bhmt
12121,Bicd1
12122,Bid
12123,Hrk
12124,Bik
12125,Bcl2l11
12131,Bkm1
12140,Fabp7
12142,Prdm1
12143,Blk
12144,Blm
12145,Cxcr5
12151,Bmi1
12153,Bmp1
12154,Bmp10
12155,Bmp15
12156,Bmp2
12159,Bmp4
12160,Bmp5
12161,Bmp6
12162,Bmp7
12163,Bmp8a
12164,Bmp8b
12165,Gdf2
12166,Bmpr1a
12167,Bmpr1b
12168,Bmpr2
12169,Bmx
12173,Bnc1
12175,Bnip2
12176,Bnip3
12177,Bnip3l
12180,Smyd1
12181,Bop1
12182,Bst1
12183,Bpgm
12189,Brca1
12190,Brca2
12192,Zfp36l1
12193,Zfp36l2
12209,Brs3
12211,Birc6
12212,Chic1
12215,Bsg
12217,Bsn
12222,bt2
12223,Btc
12224,Klf5
12226,Btg1
12227,Btg2
12228,Btg3
12229,Btk
12231,Btn1a1
12234,Btrc
12235,Bub1
12236,Bub1b
12237,Bub3
12238,Commd3
12256,Bxv1
12257,Tspo
12258,Serping1
12259,C1qa
12260,C1qb
12261,C1qbp
12262,C1qc
12263,C2
12265,Ciita
12266,C3
12267,C3ar1
12268,C4b
12269,C4bp
12270,C4bp-ps1
12273,C5ar1
12274,C6
12279,C9
12281,cab
12282,Hyou1
12283,Cab39
12285,cac
12286,Cacna1a
12287,Cacna1b
12288,Cacna1c
12289,Cacna1d
12290,Cacna1e
12291,Cacna1g
12292,Cacna1s
12293,Cacna2d1
12294,Cacna2d3
12295,Cacnb1
12296,Cacnb2
12297,Cacnb3
12298,Cacnb4
12299,Cacng1
12300,Cacng2
12301,Cacybp
12304,Pdia4
12305,Ddr1
12306,Anxa2
12307,Calb1
12308,Calb2
12309,S100g
12310,Calca
12311,Calcr
12313,Calm1
12314,Calm2
12315,Calm3
12316,Aspm
12317,Calr
12319,Car8
12321,Calu
12322,Camk2a
12323,Camk2b
12325,Camk2g
12326,Camk4
12328,Caml
12329,can
12330,Canx
12331,Cap1
12332,Capg
12333,Capn1
12334,Capn2
12335,Capn3
12336,Capns1
12337,Capn5
12338,Capn6
12339,Capn7
12340,Capza1
12343,Capza2
12344,Capza3
12345,Capzb
12346,Car1
12348,Car11
12349,Car2
12350,Car3
12351,Car4
12352,Car5a
12353,Car6
12354,Car7
12355,Nr1i3
12359,Cat
12361,Cask
12362,Casp1
12363,Casp4
12364,Casp12
12365,Casp14
12366,Casp2
12367,Casp3
12368,Casp6
12369,Casp7
12370,Casp8
12371,Casp9
12372,Casq1
12373,Casq2
12374,Casr
12380,Cast
12385,Ctnna1
12386,Ctnna2
12387,Ctnnb1
12388,Ctnnd1
12389,Cav1
12390,Cav2
12391,Cav3
12393,Runx2
12394,Runx1
12395,Runx1t1
12396,Cbfa2t2
12397,Cbfa2t2-ps1
12398,Cbfa2t3
12399,Runx3
12400,Cbfb
12401,Serpina6
12402,Cbl
12404,Cbln1
12405,Cbln2
12406,Serpinh1
12408,Cbr1
12409,Cbr2
12411,Cbs
12412,Cbx1
12416,Cbx2
12417,Cbx3
12418,Cbx4
12419,Cbx5
12420,cby
12421,Rb1cc1
12424,Cck
12425,Cckar
12426,Cckbr
12427,Ccna1
12428,Ccna2
12442,Ccnb2
12443,Ccnd1
12444,Ccnd2
12445,Ccnd3
12447,Ccne1
12448,Ccne2
12449,Ccnf
12450,Ccng1
12452,Ccng2
12453,Ccni
12454,Ccnk
12455,Ccnt1
12456,Ccpn-ps
12457,Noct
12458,Ccr6
12460,Ccs
12461,Cct2
12462,Cct3
12464,Cct4
12465,Cct5
12466,Cct6a
12467,Cct6b
12468,Cct7
12469,Cct8
12475,Cd14
12476,Cd151
12477,Ctla4
12478,Cd19
12479,Cd1d1
12480,Cd1d2
12481,Cd2
12482,Ms4a1
12483,Cd22
12484,Cd24a
12487,Cd28
12488,Cd2ap
12489,Cd33
12490,Cd34
12491,Cd36
12492,Scarb2
12493,Cd37
12494,Cd38
12495,Entpd1
12496,Entpd2
12497,Entpd6
12499,Entpd5
12500,Cd3d
12501,Cd3e
12502,Cd3g
12503,Cd247
12504,Cd4
12505,Cd44
12506,Cd48
12507,Cd5
12508,Cd53
12509,Cd59a
12511,Cd6
12512,Cd63
12514,Cd68
12515,Cd69
12516,Cd7
12517,Cd72
12518,Cd79a
12519,Cd80
12520,Cd81
12521,Cd82
12522,Cd83
12523,Cd84
12524,Cd86
12525,Cd8a
12526,Cd8b1
12527,Cd9
12530,Cdc25a
12531,Cdc25b
12532,Cdc25c
12534,Cdk1
12537,Cdk11b
12539,Cdc37
12540,Cdc42
12544,Cdc45
12545,Cdc7
12549,Arhgap31
12550,Cdh1
12552,Cdh11
12554,Cdh13
12555,Cdh15
12556,Cdh16
12557,Cdh17
12558,Cdh2
12560,Cdh3
12561,Cdh4
12562,Cdh5
12563,Cdh6
12564,Cdh8
12565,Cdh9
12566,Cdk2
12567,Cdk4
12568,Cdk5
12569,Cdk5r1
12570,Cdk5r2
12571,Cdk6
12572,Cdk7
12575,Cdkn1a
12576,Cdkn1b
12577,Cdkn1c
12578,Cdkn2a
12579,Cdkn2b
12580,Cdkn2c
12581,Cdkn2d
12582,cdm
12583,Cdo1
12585,Cdr2
12587,Mia
12589,Ift81
12590,Cdx1
12591,Cdx2
12592,Cdx4
12593,Cdyl
12606,Cebpa
12607,Cebpz
12608,Cebpb
12609,Cebpd
12611,Cebpg
12613,Cel
12614,Celsr1
12615,Cenpa
12616,Cenpb
12617,Cenpc1
12622,Cer1
12623,Ces1g
12624,Cet1
12626,Cetn3
12627,Cfc1
12628,Cfh
12630,Cfi
12631,Cfl1
12632,Cfl2
12633,Cflar
12638,Cftr
12640,Cga
12642,Ch25h
12643,Chad
12647,Chat
12648,Chd1
12649,Chek1
12651,Chkb
12652,Chga
12653,Chgb
12654,Chi3l1
12655,Chil3
12659,Ovgp1
12660,Chka
12661,Chl1
12662,Chm
12663,Chml
12667,Chrd
12669,Chrm1
12671,Chrm3
12672,Chrm4
12675,Chuk
12677,Vsx2
12679,ci
12683,Cidea
12684,Cideb
12686,Elovl3
12695,Patj
12696,Cirbp
12700,Cish
12702,Socs3
12703,Socs1
12704,Cit
12705,Cited1
12706,Ckb-ps2
12707,Ck-ps2
12708,Ck-ps3
12709,Ckb
12715,Ckm
12716,Ckmt1
12717,ckr
12718,ckrtgr
12720,cla
12721,Coro1a
12722,Clca3a1
12723,Clcn1
12724,Clcn2
12725,Clcn3
12727,Clcn4
12728,Clcn5
12729,Clns1a
12733,Clcnka
12737,Cldn1
12738,Cldn2
12739,Cldn3
12740,Cldn4
12741,Cldn5
12744,clf2
12745,Clgn
12747,Clk1
12748,Clk2
12750,Clk4
12751,Tpp1
12752,Cln3
12753,Clock
12757,Clta
12759,Clu
12761,cma
12763,Cmah
12764,Cmas
12765,Cxcr2
12766,Cxcr3
12767,Cxcr4
12768,Ccr1
12769,Ccr9
12770,Ccr1l1
12771,Ccr3
12772,Ccr2
12773,Ccr4
12774,Ccr5
12775,Ccr7
12776,Ccr8
12777,Ccr10
12778,Ackr3
12780,Abcc2
12785,Cnbp
12788,Cnga1
12789,Cnga2
12790,Cnga3
12793,Cnih1
12794,Cnih2
12795,Plk3
12796,Camp
12797,Cnn1
12798,Cnn2
12799,Cnp
12801,Cnr1
12802,Cnr2
12803,Cntf
12804,Cntfr
12805,Cntn1
12806,co
12807,Hps3
12808,Cobl
12810,Coch
12811,cod
12812,Coil
12813,Col10a1
12814,Col11a1
12815,Col11a2
12816,Col12a1
12817,Col13a1
12818,Col14a1
12819,Col15a1
12821,Col17a1
12822,Col18a1
12823,Col19a1
12824,Col2a1
12825,Col3a1
12826,Col4a1
12827,Col4a2
12828,Col4a3
12829,Col4a4
12830,Col4a5
12831,Col5a1
12832,Col5a2
12833,Col6a1
12834,Col6a2
12835,Col6a3
12836,Col7a1
12837,Col8a1
12839,Col9a1
12840,Col9a2
12841,Col9a3
12842,Col1a1
12843,Col1a2
12845,Comp
12846,Comt
12847,Copa
12848,Cops2
12850,Coq7
12854,Cort
12856,Cox17
12857,Cox4i1
12858,Cox5a
12859,Cox5b
12861,Cox6a1
12862,Cox6a2
12864,Cox6c
12865,Cox7a1
12866,Cox7a2
12867,Cox7c
12868,Cox8a
12869,Cox8b
12870,Cp
12873,Cpa3
12874,Cpd
12876,Cpe
12877,Cpeb1
12879,Cys1
12889,Cplx1
12890,Cplx2
12891,Cpne6
12892,Cpox
12894,Cpt1a
12895,Cpt1b
12896,Cpt2
12898,cpy
12902,Cr2
12903,Crabp1
12904,Crabp2
12905,Cradd
12908,Crat
12909,Crcp
12912,Creb1
12913,Creb3
12914,Crebbp
12915,Atf6b
12916,Crem
12917,crf
12918,Crh
12919,Crhbp
12921,Crhr1
12922,Crhr2
12923,crhx
12924,cri
12925,Crip1
12927,Bcar1
12928,Crk
12929,Crkl
12931,Crlf1
12933,Crmp1
12934,Dpysl2
12935,crn
12936,Pcdha4
12937,Pcdha6
12939,Pcdha7
12941,Pcdha5
12942,Pcdha11
12943,Pcdha10
12944,Crp
12945,Dmbt1
12946,Cr1l
12948,crsp
12950,Hapln1
12951,Crx
12952,Cry1
12953,Cry2
12954,Cryaa
12955,Cryab
12957,Cryba1
12958,Cryba2
12959,Cryba4
12960,Crybb1
12961,Crybb2
12962,Crybb3
12964,Cryga
12965,Crygb
12966,Crygc
12967,Crygd
12968,Cryge
12969,Crygf
12970,Crygs
12971,Crym
12972,Cryz
12973,crz
12974,Cs
12977,Csf1
12978,Csf1r
12979,Csf1r-ps
12981,Csf2
12982,Csf2ra
12983,Csf2rb
12984,Csf2rb2
12985,Csf3
12986,Csf3r
12988,Csk
12990,Csn1s1
12991,Csn2
12992,Csn1s2b
12993,Csn1s2a
12994,Csn3
12995,Csnk2a1
13000,Csnk2a2
13001,Csnk2b
13002,Dnajc5
13003,Vcan
13004,Ncan
13006,Smc3
13007,Csrp1
13008,Csrp2
13009,Csrp3
13010,Cst3
13011,Cst7
13012,Cst8
13013,Cst9
13014,Cstb
13016,Ctbp1
13017,Ctbp2
13018,Ctcf
13019,Ctf1
13024,Ctla2a
13025,Ctla2b
13026,Pcyt1a
13030,Ctsb
13032,Ctsc
13033,Ctsd
13034,Ctse
13035,Ctsg
13036,Ctsh
13038,Ctsk
13039,Ctsl
13040,Ctss
13041,Ctsw
13043,Cttn
13046,Celf1
13047,Cux1
13048,Cux2
13050,cx
13051,Cx3cr1
13052,Cxadr
13055,cy
13056,Cyb561
13057,Cyba
13058,Cybb
13063,Cycs
13064,Cycs-ps1
13065,Cycs-ps2
13066,Cycs-ps3
13067,Cyct
13070,Cyp11a1
13072,Cyp11b2
13074,Cyp17a1
13075,Cyp19a1
13076,Cyp1a1
13077,Cyp1a2
13078,Cyp1b1
13079,Cyp21a1
13081,Cyp24a1
13082,Cyp26a1
13085,Cyp2a12
13086,Cyp2a4
13087,Cyp2a5
13088,Cyp2b10
13089,Cyp2b13
13090,Cyp2b19
13094,Cyp2b9
13095,Cyp2c29
13096,Cyp2c37
13097,Cyp2c38
13098,Cyp2c39
13099,Cyp2c40
13101,Cyp2d10
13105,Cyp2d9
13106,Cyp2e1
13107,Cyp2f2
13108,Cyp2g1
13109,Cyp2j5
13110,Cyp2j6
13112,Cyp3a11
13113,Cyp3a13
13114,Cyp3a16
13115,Cyp27b1
13116,Cyp46a1
13117,Cyp4a10
13118,Cyp4a12b
13119,Cyp4a14
13120,Cyp4b1
13121,Cyp51
13122,Cyp7a1
13123,Cyp7b1
13124,Cyp8b1
13130,da
13131,Dab1
13132,Dab2
13134,Dach1
13135,Dad1
13136,Cd55
13137,Cd55b
13138,Dag1
13139,Dgka
13142,Dao
13143,Dapk2
13144,Dapk3
13162,Slc6a3
13163,Daxx
13164,Dazl
13166,Dbh
13167,Dbi
13168,Dbil5
13169,Dbnl
13170,Dbp
13171,Dbt
13172,Dbx1
13175,Dclk1
13176,Dcc
13177,Eci1
13178,Dck
13179,Dcn
13180,Pcbd1
13184,Dcpp1
13185,Vps26c
13190,Dct
13191,Dctn1
13193,Dcx
13194,Ddb1
13195,Ddc
13196,Asap1
13197,Gadd45a
13198,Ddit3
13199,Ddn
13200,Ddost
13201,dds
13202,Ddt
13204,Dhx15
13205,Ddx3x
13206,Ddx4
13207,Ddx5
13209,Ddx6
13211,Dhx9
13214,Defb1
13215,Defb2
13216,Defa1
13218,Defa29
13219,Defa-rs10
13221,Defa-rs12
13222,Defa-rs2
13223,Defa-rs4
13226,Defa31
13229,Defa10
13230,Defa11
13231,Defa12
13232,Defa13
13233,Defa14
13234,Defa15
13235,Defa16
13236,Defa25
13237,Defa3
13238,Defa4
13239,Defa5
13240,Defa6
13241,Defa7
13242,Defa8
13243,Defa9
13244,Degs1
13249,Del(1)3H
13250,Del(1)42H
13251,Del(1)55H
13252,Del(1)57H
13253,Del(1)58H
13254,Del(1)66H
13255,Del(1)6H
13256,Del(1)70H
13257,Del(10)12H
13258,Del(10)13H
13259,Del(10)1H
13260,Del(10)21H
13261,Del(10)2H
13262,Del(10)41H
13263,Del(10)65H
13264,Del(10)69H
13265,Del(10)8H
13266,Del(10)9H
13267,Del(12)75H
13268,Del(13)36H
13269,Del(13)52H
13270,Del(13)81H
13271,Del(14)10H
13272,Del(14)14H
13273,Del(14)15H
13274,Del(14)19H
13275,Del(14)22H
13276,Del(14)23H
13277,Del(14)28H
13278,Del(14)29H
13279,Del(14)30H
13280,Del(14)31H
13281,Del(14)32H
13282,Del(14)38H
13283,Del(14)39H
13284,Del(14)40H
13285,Del(14)45H
13286,Del(14)46H
13287,Del(14)5H
13288,Del(14)60H
13291,Del(16)34H
13292,Del(16)51H
13293,Del(17)11H
13294,Del(17)18H
13295,Del(17)1t<w18>-d
13296,Del(17)1t<w18>-p
13298,Del(18)20H
13299,Del(19)Tg8052Mm
13300,Del(2)35H
13301,Del(2)59H
13302,Del(2)Usc1
13303,Del(3)1Rn
13304,Del(3)48H
13305,Del(3)54H
13306,Del(3)61H
13307,Del(3)64H
13308,Del(3)76H
13309,Del(4)16H
13310,Del(4)17H
13311,Del(4)53H
13312,Del(5)25H
13313,Del(5)43H
13314,Del(5)47H
13315,Del(5)68H
13316,Del(5)73H
13317,Del(6)26H
13318,Del(7)Tyr<c-25H>
13319,Del(7)49H
13320,Del(7)56H
13321,Del(7)Tyr<c-3H>-p
13322,Del(8)44H
13323,Del(8)50H
13324,Del(8)62H
13325,Del(8)71H
13326,Del(8)72H
13327,Del(8)74H
13328,Del(8A4-B3)7H
13329,Del(9)4H
13330,Del(9)63H
13331,Del(Y<RIII>)2Psb
13332,Del(Y)1Ct-d
13333,Del(Y)1Ct-p
13334,Del(Y)B10.BR-Y<del>/Ms
13335,Del(Y)Sxrb<Rlll>-d
13336,Del(Y)Sxrb<Rlll>-p
13340,Slc29a2
13345,Twist2
13346,Des
13347,Dffa
13349,Ackr1
13350,Dgat1
13353,Dgcr6
13356,Dgcr2
13358,Slc25a1
13360,Dhcr7
13361,Dhfr
13363,Dhh
13364,di
13367,Diaph1
13368,Dffb
13370,Dio1
13371,Dio2
13380,Dkk1
13382,Dld
13383,Dlg1
13384,Mpp3
13385,Dlg4
13386,Dlk1
13388,Dll1
13389,Dll3
13390,Dlx1
13392,Dlx2
13393,Dlx3
13394,Dlx4
13395,Dlx5
13396,Dlx6
13397,Dlx6os2
13399,dm
13400,Dmpk
13401,Dmwd
13404,Dmc1
13405,Dmd
13406,Dmp1
13409,Tmc1
13411,Dnah11
13417,Dnah8
13418,Dnajc1
13419,Dnase1
13421,Dnase1l3
13423,Dnase2a
13424,Dync1h1
13426,Dync1i1
13427,Dync1i2
13429,Dnm1
13430,Dnm2
13433,Dnmt1
13434,Trdmt1
13435,Dnmt3a
13436,Dnmt3b
13437,Dnpep
13445,Cdk2ap1
13446,Doc2a
13447,Doc2b
13448,Dok1
13449,Dok2
13450,dp
13451,Is(13;1)4H
13452,Dp(1)6H
13453,Dp(12)7H
13454,Dp(12)9H
13455,Dp(13)17H
13456,Dp(14)18H
13457,Dp(14)2H
13458,Dp(15)5H
13459,Dp(16)15H
13460,Dp(16)8H
13461,Dp(17)1
13462,Dp(17)1t<w18>
13463,Dp(18)4H
13464,Dp(18Hc)1H
13465,Dp(2)11H
13466,Dp(3)10H
13469,Dp(7)19H
13470,Dp(7)1H
13471,Dp(7)1Rl
13472,Dp(9)12H
13473,Dp(9)14H
13474,Dp(9)3H
13475,Dp(Hc18)
13476,Reep5
13478,Dpagt1
13479,Dpep1
13480,Dpm1
13481,Dpm2
13482,Dpp4
13483,Dpp6
13484,dmpy
13486,Dr1
13487,Slc26a3
13488,Drd1
13489,Drd2
13490,Drd3
13491,Drd4
13492,Drd5
13494,Drg1
13495,Drg2
13496,Arid3a
13497,Drp2
13498,Atn1
13499,Drr1
13502,Drr2
13505,Dsc1
13506,Dsc2
13507,Dsc3
13508,Dscam
13509,dscb
13510,Dsg1a
13511,Dsg2
13512,Dsg3
13516,Epyc
13518,Dst
13521,Slc26a2
13522,Adam28
13524,Adam18
13525,Adam26a
13526,Adam24
13527,Dtna
13528,Dtnb
13529,Prl8a2
13531,Usp17la
13532,Usp17lc
13535,dup
13537,Dusp2
13542,Dvl1
13543,Dvl2
13544,Dvl3
13548,Dyrk1a
13549,Dyrk1b
13555,E2f1
13557,E2f3
13559,E2f5
13560,E4f1
13586,Ear1
13587,Ear2
13589,Mapre1
13590,Lefty1
13591,Ebf1
13592,Ebf2
13593,Ebf3
13595,Ebp
13599,Ecel1
13600,Eclb
13601,Ecm1
13602,Sparcl1
13603,Opn3
13604,Ecs
13605,Ect2
13607,Eda
13608,Edar
13609,S1pr1
13610,S1pr3
13611,S1pr4
13612,Edil3
13614,Edn1
13615,Edn2
13616,Edn3
13617,Ednra
13618,Ednrb
13619,Phc1
13623,Edv
13626,Eed
13627,Eef1a1
13628,Eef1a2
13629,Eef2
13631,Eef2k
13636,Efna1
13637,Efna2
13638,Efna3
13639,Efna4
13640,Efna5
13641,Efnb1
13642,Efnb2
13643,Efnb3
13644,Efs
13645,Egf
13646,Klk1b22
13647,Egfbp2
13648,Klk1b9
13649,Egfr
13650,Rhbdf1
13653,Egr1
13654,Egr2
13655,Egr3
13656,Egr4
13660,Ehd1
13661,Ehf
13663,Ei24
13664,Eif1a
13665,Eif2s1
13666,Eif2ak3
13667,Eif2b4
13669,Eif3a
13674,Eif4a-ps4
13680,Ddx19a
13681,Eif4a1
13682,Eif4a2
13684,Eif4e
13685,Eif4ebp1
13688,Eif4ebp2
13690,Eif4g2
13706,Cela2a
13708,elap
13709,Elf1
13710,Elf3
13711,Elf5
13712,Elk1
13713,Elk3
13714,Elk4
13716,Ell
13717,Eln
13722,Aimp1
13723,Emb
13726,Emd
13728,Mark2
13730,Emp1
13731,Emp2
13732,Emp3
13733,Adgre1
13796,Emx1
13797,Emx2
13798,En1
13799,En2
13800,Enah
13801,Enam
13803,Enc1
13804,Endog
13805,Eng
13806,Eno1
13807,Eno2
13808,Eno3
13809,Enpep
13812,eob
13813,Eomes
13819,Epas1
13821,Epb41l1
13822,Epb41l2
13823,Epb41l3
13824,Epb41l4a
13828,Epb42
13829,Dmtn
13830,Stom
13831,Epc1
13834,epf
13835,Epha1
13836,Epha2
13837,Epha3
13838,Epha4
13839,Epha5
13840,Epha6
13841,Epha7
13842,Epha8
13844,Ephb2
13845,Ephb3
13846,Ephb4
13848,Ephb6
13849,Ephx1
13850,Ephx2
13851,epi
13852,Stx2
13853,Epm2a
13854,Epn1
13855,Epn2
13856,Epo
13857,Epor
13858,Eps15
13859,Eps15l1
13860,Eps8
13861,Epx
13863,Lcn5
13864,Nr2f6
13865,Nr2f1
13866,Erbb2
13867,Erbb3
13869,Erbb4
13870,Ercc1
13871,Ercc2
13872,Ercc3
13874,Ereg
13875,Erf
13876,Erg
13877,Erh
13884,Ces1c
13885,Esd
13897,Ces1e
13909,Ces3b
13924,Ptprv
13927,X83325
13929,Amz2
13933,X83338
13935,X83348
13938,X83360
13957,X83313
13972,Gnb1l
13980,X83319
13982,Esr1
13983,Esr2
13984,Esx1
13990,Smarcad1
13992,Khdrbs3
13995,Etohd1
13996,Etohd2
13997,Etohd3
13998,Fgd6
13999,Gm14288
